"ID","NAME","COUNTRY","SUBREGION","LOCATION","YEAR","ADJ_TOTAL_DAMAGE"
"2004-0462-LCA","Ivan","Saint Lucia","Latin America and the Caribbean","Area Under National Administra, Region Number 1, Region Number 2, Region Number 3, Region Number 4, Region Number 5, Region Number 6, Region Number 7, Region Number 8 provinces",2004,0.807
"2004-0462-TTO","Ivan","Trinidad and Tobago","Latin America and the Caribbean","Caparo, Tumpuna villages (Couva/Tabaquite/Talparo province), Caroni village (Tunapuna/Piarco province)",2004,1.613
"2004-0462-USA","Ivan","United States of America","Northern America","Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces",2004,29037.135
"2004-0462-VCT","Ivan","Saint Vincent and the Grenadines","Latin America and the Caribbean","Charlotte, Grenadines, Saint Andrew, Saint David, Saint George, Saint Patrick provinces",2004,8.066
"2004-0462-VEN","Ivan","Venezuela (Bolivarian Republic of)","Latin America and the Caribbean","Aragua, Distrito Capital, Miranda, Vargas provinces",2004,NA
"2004-0473-BHS","Jeanne","Bahamas","Latin America and the Caribbean","Abaco, Andros, Berry, Bimini, Eleuthera, Exuma, Grand Bahama, New Providence Islands (Administrative unit not available)",2004,887.246
"2004-0473-DOM","Jeanne","Dominican Republic","Latin America and the Caribbean","Santo Domingo, Maria Trinidad Sanches, Espaillat, Samana, Duarte, Monte Cristi, San Pedro de Macoris, El Seibo, La Romana, Azua, Hato Mayor, La Altagracia provinces",2004,477.5
"2004-0473-HTI","Jeanne","Haiti","Latin America and the Caribbean","Artibonite, Centre, Sud, Nord Ouest provinces",2004,80.659
"2004-0473-PRI","Jeanne","Puerto Rico","Latin America and the Caribbean","Aguadilla, Arecibo, Bayamon, Guayama, Humacao, Mayaguez, Ponce, San Juan provinces",2004,161.317
"2004-0473-USA","Jeanne","United States of America","Northern America","Florida province",2004,12905.394
"2004-0473-VIR","Jeanne","United States Virgin Islands","Latin America and the Caribbean","Saint Thomas, Saint John, Saint Croix provinces",2004,NA
"2005-0351-CUB","Bill","Cuba","Latin America and the Caribbean","Cienfuegos, La Habana, Ciudad de la Habana, Matanzas, Sancti Spiritus, Ciego de Avila, Camaguey, Santiago de Cuba, Granma, Las Tunas, Guatanamo provinces",2005,2184.335
"2005-0351-HTI","Hurricane ""Dennis""","Haiti","Latin America and the Caribbean","Sud, Ouest, Nippes, Sud Est, Grande Anse provinces",2005,78.012
"2005-0351-JAM","Hurricane ""Dennis""","Jamaica","Latin America and the Caribbean","Portland, Saint Andrew And Kingston, Saint Mary, Saint Thomas provinces",2005,46.807
"2005-0351-USA","Hurricane ""Dennis""","United States of America","Northern America","Florida, Georgia provinces",2005,3479.333
"2005-0382-HTI","Emily","Haiti","Latin America and the Caribbean","Saint-Marc district (Artibonite province)",2005,NA
"2005-0382-JAM","Emily","Jamaica","Latin America and the Caribbean","Trelawny, Saint Catherine, Saint James, Manchester, Saint Elizabeth provinces",2005,1.56
"2005-0382-MEX","Emily","Mexico","Latin America and the Caribbean","Playa del Carmen, Cozumel areas (Cozumel district, Quintana Roo province), Merida, Tizimin districts (Yucatan province)",2005,624.096
"2005-0382-TTO","Emily","Trinidad and Tobago","Latin America and the Caribbean","Arima, Chaguanas, Couva/Tabaquite/Talparo, Diego Martin, Penal/Debe, Point Fortin, Port Of Spain, Princes Town, Rio Claro/Mayaro, San Fernando, San Juan/Laventille, Sangre Grande, Siparia, Tobago, Tunapuna/Piarco provinces",2005,NA
"2005-0382-VCT","Emily","Saint Vincent and the Grenadines","Latin America and the Caribbean","Cannau, Union, Petite Martinique, Carriacou islands (Grenadines province)",2005,NA
"2005-0467-USA","Katrina","United States of America","Northern America","Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",2005,195029.889
"2005-0524-MEX","Bret","Mexico","Latin America and the Caribbean","Naranjal, Chinampa De Gorostiza districts (Veracruz province)",2005,15.602
"2005-0547-USA","Rita","United States of America","Northern America","Louisiana, Texas, Mississippi provinces",2005,24963.826
